X,Y,Date,County
-97.466356,32.77329,4/17/14,TARRANT
-97.466356,32.77329,4/17/14,TARRANT
-97.466209,32.775561,2/5/14,TARRANT
-97.466209,32.775561,2/5/14,TARRANT
-97.465601,32.725604,4/4/14,TARRANT
-97.465601,32.725604,3/28/14,TARRANT
-97.465601,32.726187,7/2/14,TARRANT
-97.46557,32.738583,6/18/14,TARRANT
-97.46557,32.738583,6/18/14,TARRANT
-97.465464,32.674165,10/3/14,TARRANT
-97.465464,32.674165,10/3/14,TARRANT
-97.465464,32.674165,10/3/14,TARRANT
-97.465464,32.732873,9/18/14,TARRANT
-97.465464,32.732873,9/18/14,TARRANT
-97.465431,32.727231,4/14/14,TARRANT
-97.465002,32.763993,2/28/14,TARRANT
-97.464081,32.756438,5/23/14,TARRANT
-97.464081,32.756438,5/23/14,TARRANT
-97.464081,32.756438,5/23/14,TARRANT
-97.464081,32.756438,5/23/14,TARRANT
-97.464081,32.756438,5/23/14,TARRANT
-97.463931,32.754618,4/9/14,TARRANT
-97.463931,32.754618,4/9/14,TARRANT
-97.463931,32.754618,4/9/14,TARRANT
-97.463721,32.762828,4/8/14,TARRANT
-97.463721,32.762828,4/8/14,TARRANT
-97.463721,32.762828,4/8/14,TARRANT
-97.463485,32.752586,1/2/14,TARRANT
-97.463166,32.757468,12/31/14,TARRANT
-97.462588,32.893395,9/10/14,TARRANT
-97.462588,32.893395,9/10/14,TARRANT
-97.462524,32.774963,3/21/14,TARRANT
-97.462444,32.674261,11/3/14,TARRANT
-97.462444,32.674261,11/3/14,TARRANT
-97.461652,32.757895,2/7/14,TARRANT
-97.461652,32.757895,2/7/14,TARRANT
-97.461652,32.757895,2/7/14,TARRANT
-97.461652,32.757895,2/7/14,TARRANT
-97.461649,32.766971,1/14/14,TARRANT
-97.461614,32.772833,11/17/14,TARRANT
-97.461614,32.772833,12/2/14,TARRANT
-97.46144,32.752166,9/12/14,TARRANT
-97.46144,32.752166,9/12/14,TARRANT
-97.461299,32.680677,1/17/14,TARRANT
-97.460993,32.75298,3/28/14,TARRANT
-97.460993,32.75298,3/28/14,TARRANT
-97.460993,32.75298,3/28/14,TARRANT
-97.460993,32.75298,3/28/14,TARRANT
-97.460825,32.675691,10/10/14,TARRANT
-97.460749,32.76369,7/8/14,TARRANT
-97.460749,32.76369,7/8/14,TARRANT
